average time for 10 PostVersionLists measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
winnowingNormalized2GramDice, 0.0, 3.0, 0.0, 11.0, 8.0, 3.0, 0.0, 0.0, 0.0, 5.0
winnowingNormalized4GramOverlap, 0.0, 3.0, 0.0, 10.0, 8.0, 3.0, 0.0, 0.0, 0.0, 5.0
cosineNormalized4GramsBool, 0.0, 5.0, 0.0, 14.0, 10.0, 5.0, 0.0, 0.0, 1.0, 7.0
rkrGst3GramDiceVariantMinMatchLength1, 0.0, 38.0, 5.0, 311.0, 2297.0, 147.0, 3.0, 3.0, 8.0, 267.0
winnowing2GramDiceVariant, 0.0, 2.0, 0.0, 9.0, 8.0, 3.0, 0.0, 0.0, 0.0, 4.0
rkrGstShingle3OverlapMinMatchLength3, 0.0, no result, 0.0, 26.0, 23.0, no result, 0.0, 0.0, 0.0, no result
cosineNormalized5GramsBool, 0.0, 5.0, 0.0, 15.0, 11.0, 8.0, 0.0, 0.0, 1.0, 7.0
jaccard4Grams, 0.0, 2.0, 0.0, 9.0, 6.0, 3.0, 0.0, 0.0, 0.0, 3.0
optimalAlignment4GramFingerprint, 0.0, 12.0, 2.0, 226.0, 606.0, 57.0, 2.0, 1.0, 10.0, 127.0
rkrGstNormalized4GramOverlapMinMatchLength2, 0.0, 23.0, 2.0, 147.0, 335.0, 36.0, 2.0, 1.0, 4.0, 144.0
rkrGstNormalizedShingle2OverlapMinMatchLength3, 0.0, 4.0, 0.0, 23.0, 23.0, no result, 0.0, 0.0, 1.0, 10.0
longestCommonSubsequence3GramFingerprint, 0.0, 3.0, 0.0, 19.0, 41.0, 5.0, 0.0, 0.0, 1.0, 10.0
rkrGst2GramDiceVariantMinMatchLength2, 0.0, 34.0, 5.0, 263.0, 1123.0, 162.0, 3.0, 2.0, 7.0, 239.0
rkrGstNormalized4GramJaccardMinMatchLength1, 0.0, 26.0, 2.0, 155.0, 376.0, 42.0, 2.0, 1.0, 4.0, 127.0
overlapNormalizedShingles2, 0.0, 2.0, 0.0, 8.0, 6.0, no result, 0.0, 0.0, 0.0, 3.0
optimalAlignment4GramFingerprintNormalized, 0.0, 10.0, 1.0, 94.0, 254.0, 17.0, 1.0, 0.0, 4.0, 72.0
rkrGstNormalized2GramDiceVariantMinMatchLength2, 0.0, 22.0, 2.0, 127.0, 325.0, 32.0, 2.0, 1.0, 4.0, 141.0
rkrGstNormalized5GramDiceVariantMinMatchLength2, 0.0, 39.0, 3.0, 164.0, 381.0, 37.0, 2.0, 1.0, 4.0, 133.0
rkrGstNormalized2GramOverlapMinMatchLength2, 0.0, 24.0, 2.0, 129.0, 317.0, 32.0, 2.0, 1.0, 4.0, 141.0
optimalAlignmentShingle2FingerprintNormalized, 0.0, 4.0, 0.0, 13.0, 11.0, no result, 0.0, 0.0, 1.0, 4.0
rkrGstNormalizedTokenDiceVariantMinMatchLength1, 0.0, 3.0, 0.0, 18.0, 13.0, 6.0, 0.0, 0.0, 0.0, 7.0
levenshteinNormalized, 0.0, 4.0, 0.0, 51.0, 139.0, 13.0, 0.0, 0.0, 3.0, 41.0
winnowing4GramDice, 0.0, 2.0, 0.0, 9.0, 8.0, 3.0, 0.0, 0.0, 0.0, 4.0
diceNormalizedPadding5grams, 0.0, 3.0, 0.0, 11.0, 8.0, 5.0, 0.0, 0.0, 0.0, 5.0
rkrGst3GramDiceMinMatchLength1, 0.0, 36.0, 5.0, 306.0, 2190.0, 147.0, 3.0, 3.0, 8.0, 263.0
winnowingNormalizedShingle3Overlap, 0.0, 2.0, 0.0, 11.0, 7.0, no result, 0.0, 0.0, 1.0, no result
diceVariantTokens, 0.0, 0.0, 0.0, 3.0, 2.0, 1.0, 0.0, 0.0, 0.0, 1.0
manhattanNormalized3Grams, 0.0, 5.0, 0.0, 13.0, 9.0, 5.0, 0.0, 0.0, 1.0, 5.0
rkrGstNormalized2GramDiceVariantMinMatchLength1, 0.0, 24.0, 2.0, 133.0, 317.0, 36.0, 2.0, 1.0, 4.0, 143.0
optimalAlignment3GramFingerprintNormalized, 0.0, 9.0, 1.0, 85.0, 246.0, 17.0, 1.0, 0.0, 4.0, 71.0
rkrGstNormalized5GramDiceMinMatchLength3, 0.0, 23.0, 2.0, 154.0, 352.0, 36.0, 2.0, 1.0, 4.0, 130.0
rkrGstNormalizedShingle3OverlapMinMatchLength2, 0.0, 4.0, 0.0, 28.0, 26.0, no result, 0.0, 0.0, 1.0, no result
winnowingNormalizedShingle3Jaccard, 0.0, 3.0, 0.0, 12.0, 9.0, no result, 0.0, 0.0, 1.0, no result
rkrGstShingle2OverlapMinMatchLength1, 0.0, 2.0, 0.0, 24.0, 19.0, no result, 0.0, 0.0, 0.0, 9.0
rkrGstTokenOverlapMinMatchLength2, 0.0, 1.0, 0.0, 15.0, 12.0, 5.0, 0.0, 0.0, 0.0, 5.0
rkrGstNormalized5GramJaccardMinMatchLength3, 0.0, 24.0, 2.0, 158.0, 357.0, 37.0, 2.0, 1.0, 4.0, 133.0
rkrGst2GramDiceVariantMinMatchLength1, 0.0, 44.0, 5.0, 316.0, 1214.0, 189.0, 3.0, 2.0, 9.0, 263.0
winnowingShingle2Jaccard, 0.0, 2.0, 0.0, 7.0, 5.0, no result, 0.0, 0.0, 0.0, 2.0
optimalAlignment5GramFingerprintNormalized, 0.0, 11.0, 1.0, 94.0, 282.0, 19.0, 1.0, 0.0, 5.0, 85.0
rkrGst2GramJaccardMinMatchLength2, 0.0, 33.0, 5.0, 294.0, 1102.0, 161.0, 3.0, 3.0, 8.0, 245.0
diceVariantNormalizedTokens, 0.0, 1.0, 0.0, 3.0, 3.0, 1.0, 0.0, 0.0, 0.0, 1.0
diceVariant3Grams, 0.0, 2.0, 0.0, 7.0, 5.0, 2.0, 0.0, 0.0, 0.0, 3.0
rkrGstShingle3DiceVariantMinMatchLength2, 0.0, no result, 0.0, 29.0, 21.0, no result, 0.0, 0.0, 1.0, no result
rkrGstNormalizedShingle3JaccardMinMatchLength2, 0.0, 5.0, 0.0, 37.0, 28.0, no result, 0.0, 0.0, 1.0, no result
rkrGstNormalized4GramDiceMinMatchLength2, 0.0, 25.0, 2.0, 149.0, 345.0, 35.0, 2.0, 1.0, 4.0, 130.0
longestCommonSubsequenceNormalized, 0.0, 9.0, 1.0, 100.0, 278.0, 21.0, 1.0, 0.0, 5.0, 80.0
rkrGstNormalized4GramOverlapMinMatchLength1, 0.0, 26.0, 2.0, 154.0, 470.0, 39.0, 2.0, 1.0, 4.0, 138.0
cosineNormalized3GramsBool, 0.0, 5.0, 0.0, 14.0, 9.0, 5.0, 0.0, 0.0, 1.0, 6.0
winnowing2GramDice, 0.0, 2.0, 0.0, 9.0, 8.0, 3.0, 0.0, 0.0, 0.0, 4.0
winnowingShingle2Dice, 0.0, 1.0, 0.0, 5.0, 3.0, no result, 0.0, 0.0, 0.0, 2.0
rkrGstNormalizedShingle2OverlapMinMatchLength1, 0.0, 4.0, 0.0, 25.0, 25.0, no result, 0.0, 0.0, 1.0, 11.0
rkrGst5GramDiceVariantMinMatchLength2, 0.0, 37.0, 6.0, 389.0, 3085.0, 133.0, 4.0, 3.0, 9.0, 296.0
diceNormalizedShingles2, 0.0, 3.0, 0.0, 9.0, 6.0, no result, 0.0, 0.0, 0.0, 4.0
rkrGstNormalized2GramDiceVariantMinMatchLength3, 0.0, 24.0, 2.0, 128.0, 315.0, 33.0, 2.0, 1.0, 3.0, 147.0
winnowingShingle3Overlap, 0.0, no result, 0.0, 6.0, 4.0, no result, 0.0, 0.0, 0.0, no result
jaccard5Grams, 0.0, 2.0, 0.0, 10.0, 7.0, 4.0, 0.0, 0.0, 0.0, 4.0
winnowingShingle3Jaccard, 0.0, no result, 0.0, 7.0, 5.0, no result, 0.0, 0.0, 0.0, no result
rkrGstTokenDiceMinMatchLength3, 0.0, 1.0, 0.0, 17.0, 13.0, 6.0, 0.0, 0.0, 0.0, 6.0
diceNormalized5Grams, 0.0, 3.0, 0.0, 12.0, 10.0, 4.0, 0.0, 0.0, 0.0, 6.0
rkrGstShingle3OverlapMinMatchLength2, 0.0, no result, 0.0, 32.0, 25.0, no result, 0.0, 3.0, 1.0, no result
diceVariantNormalizedPadding2grams, 0.0, 3.0, 0.0, 9.0, 8.0, 3.0, 0.0, 0.0, 0.0, 4.0
longestCommonSubsequenceShingle3FingerprintNormalized, 0.0, 2.0, 0.0, 10.0, 8.0, no result, 0.0, 0.0, 0.0, no result
rkrGst5GramJaccardMinMatchLength2, 0.0, 46.0, 6.0, 398.0, 3210.0, 138.0, 4.0, 3.0, 9.0, 292.0
rkrGst4GramOverlapMinMatchLength1, 0.0, 37.0, 5.0, 352.0, 2977.0, 437.0, 4.0, 3.0, 11.0, 328.0
rkrGstShingle3DiceMinMatchLength2, 0.0, no result, 0.0, 28.0, 22.0, no result, 0.0, 0.0, 1.0, no result
overlapNormalizedShingles3, 0.0, 2.0, 0.0, 9.0, 7.0, no result, 0.0, 0.0, 0.0, no result
rkrGstTokenJaccardMinMatchLength3, 0.0, 2.0, 0.0, 17.0, 13.0, 6.0, 0.0, 0.0, 0.0, 6.0
rkrGst5GramDiceMinMatchLength1, 0.0, 39.0, 6.0, 399.0, 3120.0, 141.0, 4.0, 3.0, 9.0, 307.0
winnowingNormalized5GramDiceVariant, 0.0, 3.0, 0.0, 11.0, 9.0, 3.0, 0.0, 0.0, 0.0, 5.0
rkrGstShingle2OverlapMinMatchLength3, 0.0, 2.0, 0.0, 22.0, 19.0, no result, 0.0, 0.0, 0.0, 9.0
rkrGstNormalizedShingle2DiceMinMatchLength1, 0.0, 4.0, 0.0, 24.0, 24.0, no result, 0.0, 0.0, 1.0, 11.0
rkrGstNormalized5GramDiceMinMatchLength2, 0.0, 23.0, 2.0, 171.0, 353.0, 36.0, 2.0, 1.0, 4.0, 129.0
rkrGstNormalized5GramDiceVariantMinMatchLength1, 0.0, 28.0, 2.0, 162.0, 360.0, 42.0, 2.0, 1.0, 4.0, 133.0
optimalAlignment2GramFingerprint, 0.0, 12.0, 2.0, 251.0, 668.0, 66.0, 2.0, 1.0, 10.0, 126.0
rkrGstNormalized4GramDiceMinMatchLength1, 0.0, 25.0, 2.0, 150.0, 339.0, 42.0, 2.0, 1.0, 4.0, 154.0
cosineNormalized5GramsTermFrequency, 0.0, 5.0, 0.0, 16.0, 11.0, 7.0, 0.0, 0.0, 1.0, 7.0
overlapNormalizedTokens, 0.0, 2.0, 0.0, 8.0, 7.0, 3.0, 0.0, 0.0, 0.0, 4.0
rkrGstNormalizedTokenDiceVariantMinMatchLength2, 0.0, 2.0, 0.0, 16.0, 12.0, 6.0, 0.0, 0.0, 0.0, 7.0
rkrGstTokenDiceMinMatchLength2, 0.0, 1.0, 0.0, 16.0, 15.0, 7.0, 0.0, 0.0, 0.0, 6.0
rkrGstNormalizedShingle2DiceVariantMinMatchLength2, 0.0, 4.0, 0.0, 25.0, 25.0, no result, 0.0, 0.0, 1.0, 11.0
