max time for a PostVersionList measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
optimalAlignment4GramFingerprint, 0, 228, 13, 1, 27, 0, 65, 0, 33, 1
rkrGstNormalized2GramDiceMinMatchLength3, 0, 541, 20, 4, 52, 2, 61, 0, 51, 4
rkrGstTokenOverlapMinMatchLength1, 0, 62, 1, 0, 11, 0, 8, 0, 5, 0
rkrGstTokenDiceVariantMinMatchLength1, 0, 54, 2, 1, 8, 0, 8, 0, 6, 0
winnowingTokenDice, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
rkrGst2GramJaccardMinMatchLength3, 0, 709, 19, 5, 72, 2, 70, 0, 58, 5
rkrGstShingle2DiceMinMatchLength3, 0, 69, 2, 0, 10, no result, 11, 0, 7, 0
rkrGstNormalizedTokenDiceVariantMinMatchLength3, 0, 52, 1, 0, 8, 0, 7, 0, 5, 0
rkrGstNormalized2GramDiceVariantMinMatchLength1, 0, 528, 17, 4, 53, 2, 62, 0, 42, 5
jaccardNormalizedTokens, 0, 22, 2, 0, 4, 0, 4, 0, 3, 0
optimalAlignment4GramFingerprintNormalized, 0, 168, 11, 1, 20, 0, 40, 0, 19, 1
rkrGstShingle2DiceVariantMinMatchLength2, 0, 57, 2, 0, 10, no result, 9, 0, 6, 0
rkrGstShingle3OverlapMinMatchLength3, 0, no result, 2, 0, 12, no result, 10, 0, 7, no result
winnowingNormalized4GramOverlap, 0, 19, 1, 0, 3, 0, 4, 0, 3, 0
rkrGstNormalized4GramDiceMinMatchLength1, 0, 594, 18, 4, 57, 2, 68, 0, 51, 4
rkrGst4GramOverlapMinMatchLength3, 0, 764, 21, 4, 76, 2, 76, 0, 60, 4
winnowing5GramOverlap, 0, 14, 1, 0, 2, 0, 3, 0, 2, 0
winnowing2GramOverlap, 0, 14, 1, 0, 3, 0, 4, 0, 2, 0
winnowing3GramJaccard, 0, 18, 1, 0, 3, 0, 3, 0, 2, 0
rkrGstNormalized5GramJaccardMinMatchLength2, 0, 580, 18, 4, 57, 1, 66, 0, 48, 4
diceNormalizedShingles2, 0, 22, 1, 1, 4, no result, 4, 0, 3, 0
longestCommonSubsequenceNormalized, 0, 238, 13, 1, 28, 0, 53, 0, 26, 1
rkrGstTokenJaccardMinMatchLength3, 0, 49, 1, 0, 8, 0, 7, 0, 5, 0
rkrGstNormalized5GramJaccardMinMatchLength3, 0, 589, 18, 4, 57, 1, 65, 0, 48, 4
rkrGst4GramDiceMinMatchLength2, 0, 706, 22, 5, 73, 2, 77, 0, 54, 4
diceVariantNormalized5Grams, 0, 19, 1, 0, 3, 0, 4, 0, 2, 0
diceTokens, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0
manhattanNormalizedTokens, 0, 10, 0, 0, 1, 0, 1, 0, 1, 0
rkrGst2GramDiceVariantMinMatchLength2, 0, 606, 19, 5, 73, 1, 68, 0, 50, 4
rkrGstNormalizedShingle3JaccardMinMatchLength2, 0, 86, 4, 1, 14, no result, 16, 0, 9, no result
rkrGstNormalized3GramJaccardMinMatchLength2, 0, 520, 18, 4, 51, 1, 60, 0, 42, 3
rkrGstTokenDiceVariantMinMatchLength2, 0, 42, 1, 0, 7, 0, 6, 0, 4, 0
rkrGstNormalized2GramOverlapMinMatchLength3, 0, 490, 17, 3, 49, 1, 56, 0, 38, 3
rkrGstNormalized3GramOverlapMinMatchLength1, 0, 560, 17, 4, 54, 1, 63, 0, 46, 3
rkrGstNormalizedTokenDiceMinMatchLength3, 0, 48, 1, 0, 8, 0, 6, 0, 5, 0
winnowingNormalizedShingle3Jaccard, 0, 25, 2, 1, 4, no result, 5, 0, 3, no result
cosineNormalized3GramsBool, 0, 30, 2, 1, 5, 0, 6, 0, 4, 1
rkrGstShingle2JaccardMinMatchLength2, 0, 58, 2, 0, 10, no result, 9, 0, 6, 0
rkrGstNormalized5GramOverlapMinMatchLength1, 0, 619, 19, 4, 63, 1, 71, 0, 49, 4
rkrGstTokenJaccardMinMatchLength1, 0, 50, 1, 0, 8, 0, 7, 0, 4, 0
winnowingNormalized2GramJaccard, 0, 19, 1, 1, 3, 0, 4, 0, 3, 0
rkrGstTokenDiceMinMatchLength3, 0, 43, 1, 0, 7, 0, 6, 0, 4, 0
rkrGstNormalized3GramDiceVariantMinMatchLength3, 0, 510, 17, 4, 52, 1, 60, 0, 41, 3
diceVariant4Grams, 0, 14, 1, 0, 2, 0, 3, 0, 2, 0
rkrGstNormalized2GramDiceVariantMinMatchLength3, 0, 493, 16, 4, 51, 1, 59, 0, 44, 3
longestCommonSubsequenceShingle3Fingerprint, 0, no result, 1, 0, 9, no result, 2, 0, 2, no result
rkrGstNormalizedShingle3JaccardMinMatchLength1, 0, 95, 4, 1, 15, no result, 18, 0, 10, no result
rkrGst3GramJaccardMinMatchLength3, 0, 689, 20, 4, 71, 2, 72, 0, 53, 4
jaccardNormalizedPadding3grams, 0, 20, 1, 1, 3, 0, 4, 0, 3, 0
rkrGst3GramDiceMinMatchLength1, 0, 708, 21, 5, 76, 2, 77, 0, 53, 4
rkrGstNormalized3GramOverlapMinMatchLength3, 0, 512, 16, 3, 51, 1, 60, 0, 42, 3
rkrGstNormalized4GramOverlapMinMatchLength2, 0, 574, 23, 4, 52, 1, 61, 0, 42, 3
winnowingNormalizedTokenJaccard, 0, 8, 0, 0, 1, 0, 1, 0, 1, 0
overlapNormalizedPadding2grams, 0, 16, 1, 0, 2, 0, 3, 0, 2, 0
cosineNormalized4GramsNormalizedTermFrequency, 0, 35, 2, 1, 5, 0, 6, 0, 5, 1
optimalAlignmentShingle3FingerprintNormalized, 0, 27, 2, 1, 5, no result, 5, 0, 3, no result
winnowingNormalizedShingle2Dice, 0, 19, 1, 1, 4, no result, 4, 0, 3, 0
rkrGstShingle2DiceVariantMinMatchLength3, 0, 59, 2, 0, 10, no result, 11, 0, 6, 0
rkrGstNormalized5GramDiceMinMatchLength3, 0, 578, 19, 4, 57, 1, 72, 0, 51, 4
rkrGstNormalized4GramDiceMinMatchLength2, 0, 619, 20, 4, 59, 1, 62, 0, 44, 4
winnowingShingle2Dice, 0, 10, 0, 0, 2, no result, 2, 0, 1, 0
rkrGstNormalizedTokenDiceVariantMinMatchLength1, 0, 57, 2, 1, 10, 0, 7, 0, 5, 0
jaccardShingles2, 0, 12, 0, 0, 3, no result, 2, 0, 1, 0
longestCommonSubsequenceShingle2Fingerprint, 0, 13, 0, 0, 2, no result, 2, 0, 1, 0
jaccardShingles3, 0, no result, 0, 0, 2, no result, 3, 0, 2, no result
diceVariantNormalized3Grams, 0, 19, 1, 0, 3, 0, 4, 0, 3, 0
diceVariantNormalizedPadding2grams, 0, 17, 1, 0, 3, 0, 4, 0, 2, 0
dice2Grams, 0, 11, 1, 0, 1, 0, 2, 0, 1, 0
longestCommonSubsequence4GramFingerprint, 0, 20, 1, 0, 4, 0, 4, 0, 2, 0
rkrGstNormalizedShingle2DiceMinMatchLength3, 0, 85, 4, 1, 13, no result, 16, 0, 9, 0
rkrGst5GramDiceMinMatchLength1, 0, 915, 25, 5, 89, 2, 85, 0, 63, 4
rkrGst4GramDiceVariantMinMatchLength3, 0, 977, 24, 5, 80, 2, 87, 0, 59, 6
winnowingNormalized5GramOverlap, 0, 24, 2, 1, 3, 0, 5, 0, 3, 0
rkrGstNormalized5GramDiceVariantMinMatchLength2, 0, 722, 21, 5, 78, 2, 80, 0, 54, 5
diceVariant2Grams, 0, 13, 1, 0, 2, 0, 2, 0, 1, 0
longestCommonSubsequence5GramFingerprint, 0, 16, 1, 0, 2, 0, 4, 0, 2, 0
overlap5Grams, 0, 19, 1, 0, 3, 0, 3, 0, 2, 0
rkrGst2GramDiceMinMatchLength2, 0, 680, 22, 5, 80, 1, 69, 0, 56, 4
rkrGstNormalized3GramJaccardMinMatchLength3, 0, 530, 17, 4, 50, 1, 60, 0, 41, 3
rkrGstNormalized4GramOverlapMinMatchLength3, 0, 582, 18, 4, 53, 1, 61, 0, 42, 3
longestCommonSubsequence4GramFingerprintNormalized, 0, 73, 5, 0, 10, 0, 17, 0, 8, 0
diceNormalizedShingles3, 0, 22, 1, 1, 4, no result, 4, 0, 3, no result
rkrGstNormalized2GramJaccardMinMatchLength3, 0, 498, 17, 4, 51, 1, 59, 0, 39, 3
winnowingNormalizedTokenDice, 0, 8, 0, 0, 1, 0, 1, 0, 1, 0
rkrGstTokenDiceVariantMinMatchLength3, 0, 47, 1, 0, 9, 0, 7, 0, 4, 0
rkrGstNormalizedShingle2JaccardMinMatchLength3, 0, 80, 4, 1, 15, no result, 16, 0, 8, 1
rkrGstShingle3DiceMinMatchLength2, 0, no result, 2, 0, 12, no result, 10, 0, 7, no result
levenshteinNormalized, 0, 103, 6, 0, 12, 0, 25, 0, 11, 0
jaccard3Grams, 0, 15, 1, 0, 2, 0, 3, 0, 4, 0
diceVariantNormalized2Grams, 0, 16, 1, 0, 3, 0, 3, 0, 2, 0
winnowing2GramDiceVariant, 0, 14, 1, 0, 2, 0, 3, 0, 2, 0
winnowingNormalized5GramDice, 0, 19, 1, 0, 3, 0, 4, 0, 3, 1
rkrGstNormalizedShingle2DiceMinMatchLength1, 0, 101, 4, 1, 15, no result, 16, 0, 9, 1
rkrGst2GramOverlapMinMatchLength1, 0, 656, 20, 5, 72, 2, 75, 0, 56, 4
rkrGst4GramDiceMinMatchLength1, 0, 781, 22, 5, 78, 2, 88, 0, 59, 4
rkrGst3GramDiceMinMatchLength3, 0, 671, 21, 4, 76, 2, 71, 0, 51, 4
manhattanNormalized5Grams, 0, 35, 2, 1, 6, 0, 7, 0, 5, 1
diceVariant5Grams, 0, 15, 1, 0, 2, 0, 3, 0, 2, 0
winnowingNormalizedShingle3Overlap, 0, 24, 1, 1, 4, no result, 4, 0, 3, no result
overlapNormalized5Grams, 0, 22, 1, 0, 4, 0, 4, 0, 3, 0
diceNormalizedPadding4grams, 0, 20, 1, 1, 3, 0, 4, 0, 3, 0
rkrGstNormalizedShingle2OverlapMinMatchLength2, 0, 79, 4, 1, 15, no result, 15, 0, 9, 1
winnowing5GramJaccard, 0, 17, 1, 0, 3, 0, 3, 0, 2, 0
rkrGst5GramOverlapMinMatchLength2, 0, 786, 22, 5, 85, 2, 88, 0, 61, 4
rkrGstNormalizedShingle2JaccardMinMatchLength1, 0, 91, 4, 2, 16, no result, 18, 0, 10, 1
rkrGst3GramJaccardMinMatchLength1, 0, 762, 24, 6, 82, 2, 86, 0, 66, 4
manhattanNormalizedShingles2, 0, 24, 1, 1, 4, no result, 5, 0, 3, 0
rkrGst3GramOverlapMinMatchLength1, 0, 784, 22, 5, 80, 2, 82, 0, 56, 4
rkrGstNormalized3GramDiceMinMatchLength1, 0, 590, 19, 4, 60, 2, 69, 0, 48, 4
rkrGst3GramJaccardMinMatchLength2, 0, 705, 22, 5, 75, 2, 77, 0, 55, 4
rkrGstNormalized5GramOverlapMinMatchLength2, 0, 600, 20, 4, 64, 1, 70, 0, 51, 4
rkrGst3GramDiceMinMatchLength2, 0, 720, 21, 5, 80, 2, 75, 0, 55, 4
rkrGst3GramOverlapMinMatchLength2, 0, 694, 21, 5, 75, 2, 75, 0, 55, 4
rkrGstShingle3OverlapMinMatchLength1, 0, no result, 2, 1, 13, no result, 11, 0, 7, no result
