similarity (splittings) (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
jaccardNormalized5Grams, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0
winnowingNormalizedShingle3DiceVariant, 0, 0, 1, 0, 0, no result, 0, 0, 0, no result
manhattanNormalized3Grams, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
rkrGstNormalized4GramJaccardMinMatchLength1, 0, 2, 0, 6, 6, 2, 0, 0, 0, 0
rkrGstTokenOverlapMinMatchLength3, 0, 2, 0, 2, 0, 2, 1, 0, 0, 0
rkrGst4GramJaccardMinMatchLength3, 0, 1, 0, 15, 6, 11, 0, 0, 0, 4
cosineNormalizedShingle2Bool, 0, 2, 0, 0, 0, no result, 0, 0, 0, 0
overlapNormalizedShingles3, 0, 2, 0, 0, 0, no result, 0, 0, 0, no result
rkrGstNormalized3GramOverlapMinMatchLength1, 0, 1, 0, 2, 6, 0, 0, 0, 0, 9
rkrGstNormalized5GramJaccardMinMatchLength1, 0, 2, 0, 6, 0, 2, 0, 0, 0, 0
diceVariantNormalizedPadding4grams, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
rkrGst4GramDiceMinMatchLength1, 0, 0, 0, 9, 6, 10, 0, 0, 0, 1
winnowingNormalized3GramDiceVariant, 0, 2, 0, 0, 1, 2, 0, 0, 0, 0
diceVariantNormalized5Grams, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0
rkrGstNormalizedShingle3JaccardMinMatchLength3, 0, 2, 0, 1, 1, no result, 2, 0, 0, no result
rkrGstShingle2OverlapMinMatchLength1, 0, 2, 0, 2, 0, no result, 1, 0, 0, 0
winnowingTokenOverlap, 0, 2, 0, 2, 0, 1, 1, 0, 0, 0
optimalAlignmentShingle2Fingerprint, 0, 2, 1, 1, 1, no result, 1, 0, 0, 0
rkrGstNormalizedTokenDiceMinMatchLength3, 0, 2, 0, 1, 0, 2, 1, 0, 0, 0
diceNormalizedPadding5grams, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0
optimalAlignment3GramFingerprintNormalized, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0
jaccardNormalizedPadding2grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
winnowingNormalized3GramOverlap, 0, 2, 0, 0, 1, 2, 0, 0, 0, 0
diceVariantNormalizedTokens, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
rkrGstNormalized4GramDiceVariantMinMatchLength1, 0, 14, 0, 9, 6, 2, 0, 0, 0, 8
levenshteinStandard, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGst4GramJaccardMinMatchLength2, 0, 1, 0, 15, 6, 11, 0, 0, 0, 4
rkrGstTokenDiceVariantMinMatchLength1, 0, 9, 0, 16, 6, 0, 0, 0, 0, 8
winnowingNormalized2GramOverlap, 0, 2, 0, 1, 2, 1, 0, 0, 0, 1
rkrGstNormalizedShingle3OverlapMinMatchLength3, 0, 2, 0, 1, 0, no result, 0, 0, 0, no result
winnowingNormalizedShingle3Dice, 0, 1, 2, 0, 0, no result, 3, 0, 0, no result
rkrGst3GramOverlapMinMatchLength3, 0, 0, 0, 10, 6, 10, 0, 0, 0, 8
rkrGstNormalizedShingle3DiceMinMatchLength1, 0, 2, 0, 0, 0, no result, 0, 0, 0, no result
winnowingNormalizedTokenDice, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0
diceVariant3Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
optimalAlignmentShingle3Fingerprint, 0, no result, 2, 1, 1, no result, 2, 0, 0, no result
rkrGst5GramOverlapMinMatchLength1, 0, 0, 0, 10, 6, 4, 0, 0, 0, 9
rkrGst2GramDiceVariantMinMatchLength3, 0, 23, 0, 16, 6, 10, 0, 0, 0, 8
rkrGstShingle3DiceMinMatchLength3, 0, no result, 2, 1, 0, no result, 2, 0, 0, no result
rkrGst2GramOverlapMinMatchLength1, 0, 24, 0, 11, 6, 10, 0, 0, 0, 9
longestCommonSubsequenceShingle2FingerprintNormalized, 0, 2, 0, 0, 0, no result, 0, 0, 0, 0
longestCommonSubsequence4GramFingerprintNormalized, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0
winnowingNormalizedShingle2Overlap, 0, 1, 0, 1, 0, no result, 0, 0, 0, 0
winnowingNormalized4GramDice, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0
cosineNormalized4GramsNormalizedTermFrequency, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
rkrGstNormalizedShingle3DiceMinMatchLength2, 0, 2, 0, 0, 0, no result, 0, 0, 0, no result
rkrGstShingle2JaccardMinMatchLength2, 0, 2, 2, 1, 0, no result, 2, 0, 0, 0
winnowingNormalizedShingle3Overlap, 0, 1, 2, 0, 0, no result, 3, 0, 0, no result
rkrGst2GramOverlapMinMatchLength2, 0, 24, 0, 11, 6, 10, 0, 0, 0, 9
winnowingNormalized3GramDice, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0
diceNormalized2Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
diceVariantNormalized3Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalized4GramDiceMinMatchLength1, 0, 0, 0, 1, 6, 2, 0, 0, 0, 0
cosineNormalized4GramsTermFrequency, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
winnowing5GramOverlap, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0
rkrGstShingle3DiceMinMatchLength1, 0, no result, 1, 1, 0, no result, 1, 0, 0, no result
rkrGstNormalized3GramDiceMinMatchLength3, 0, 0, 0, 1, 6, 2, 0, 0, 0, 0
rkrGstNormalized3GramDiceVariantMinMatchLength3, 0, 15, 0, 9, 6, 2, 0, 0, 0, 8
diceShingles3, 0, no result, 1, 1, 0, no result, 1, 0, 0, no result
rkrGstShingle3JaccardMinMatchLength3, 0, no result, 2, 2, 1, no result, 3, 0, 0, no result
rkrGst4GramOverlapMinMatchLength2, 0, 0, 0, 10, 6, 10, 0, 0, 0, 9
winnowing3GramDiceVariant, 0, 3, 0, 2, 0, 0, 0, 0, 0, 0
rkrGstNormalizedTokenDiceVariantMinMatchLength2, 0, 9, 0, 8, 6, 2, 0, 0, 0, 1
winnowing4GramDiceVariant, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0
winnowingShingle3Jaccard, 0, no result, 4, 2, 1, no result, 4, 0, 1, no result
cosineNormalizedShingle2TermFrequency, 0, 2, 0, 0, 0, no result, 0, 0, 0, 0
overlapNormalized2Grams, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
rkrGstShingle2DiceVariantMinMatchLength1, 0, 9, 0, 8, 0, no result, 0, 0, 0, 0
rkrGstShingle2JaccardMinMatchLength3, 0, 2, 2, 2, 0, no result, 2, 0, 0, 0
winnowing3GramDice, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
rkrGstShingle3DiceVariantMinMatchLength3, 0, no result, 1, 7, 0, no result, 1, 0, 0, no result
cosineNormalized5GramsBool, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
rkrGst4GramDiceMinMatchLength3, 0, 0, 0, 9, 1, 10, 0, 0, 0, 0
rkrGstNormalizedTokenDiceMinMatchLength2, 0, 2, 0, 1, 0, 2, 0, 0, 0, 0
rkrGstNormalizedShingle3DiceVariantMinMatchLength3, 0, 10, 0, 6, 0, no result, 0, 0, 0, no result
winnowingShingle2Jaccard, 0, 12, 2, 2, 1, no result, 4, 0, 1, 1
overlapNormalized3Grams, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
winnowingShingle2DiceVariant, 0, 9, 0, 2, 0, no result, 1, 0, 0, 0
rkrGst4GramDiceVariantMinMatchLength1, 0, 15, 0, 16, 6, 10, 0, 0, 0, 8
winnowingNormalizedTokenJaccard, 0, 3, 0, 1, 0, 1, 4, 0, 0, 0
rkrGst5GramJaccardMinMatchLength3, 0, 2, 0, 15, 0, 2, 0, 0, 0, 1
overlap2Grams, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalized2GramDiceVariantMinMatchLength1, 0, 23, 0, 16, 6, 0, 0, 0, 0, 8
optimalAlignment5GramFingerprintNormalized, 0, 2, 0, 0, 1, 2, 0, 0, 0, 0
rkrGstNormalized4GramJaccardMinMatchLength2, 0, 2, 0, 6, 6, 2, 0, 0, 0, 0
levenshteinNormalized, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalized3GramJaccardMinMatchLength1, 0, 0, 0, 6, 6, 2, 0, 0, 0, 7
rkrGstShingle2JaccardMinMatchLength1, 0, 2, 1, 1, 0, no result, 1, 0, 0, 0
dice5Grams, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
diceVariantShingles2, 0, 1, 0, 2, 0, no result, 0, 0, 0, 0
rkrGstTokenOverlapMinMatchLength2, 0, 2, 0, 1, 0, 2, 1, 0, 0, 0
diceVariantShingles3, 0, no result, 0, 2, 0, no result, 1, 0, 0, no result
diceVariantNormalizedPadding5grams, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0
rkrGstNormalizedShingle2JaccardMinMatchLength3, 0, 2, 0, 5, 0, no result, 0, 0, 0, 0
cosineNormalizedTokensNormalizedTermFrequency, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalizedShingle3DiceMinMatchLength3, 0, 2, 0, 0, 0, no result, 0, 0, 0, no result
rkrGstNormalizedShingle2OverlapMinMatchLength2, 0, 1, 0, 1, 0, no result, 0, 0, 0, 0
rkrGst3GramJaccardMinMatchLength2, 0, 0, 0, 15, 6, 10, 0, 0, 0, 8
jaccard3Grams, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0
rkrGstNormalized4GramDiceMinMatchLength2, 0, 0, 0, 1, 6, 2, 0, 0, 0, 0
cosineNormalizedShingle3Bool, 0, 2, 0, 0, 0, no result, 0, 0, 0, no result
winnowingShingle2Overlap, 0, 10, 0, 2, 0, no result, 2, 0, 0, 0
optimalAlignmentShingle2FingerprintNormalized, 0, 2, 0, 0, 1, no result, 1, 0, 0, 0
damerauLevenshteinStandard, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGst4GramDiceVariantMinMatchLength3, 0, 14, 0, 16, 6, 10, 0, 0, 0, 8
overlapNormalized4Grams, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0
rkrGst4GramDiceMinMatchLength2, 0, 0, 0, 9, 7, 10, 0, 0, 0, 0
rkrGstShingle3DiceVariantMinMatchLength2, 0, no result, 1, 7, 0, no result, 1, 0, 0, no result
rkrGstNormalizedTokenJaccardMinMatchLength2, 0, 2, 0, 6, 0, 2, 1, 0, 0, 0
rkrGst5GramDiceVariantMinMatchLength1, 0, 14, 0, 16, 6, 10, 0, 0, 0, 8
jaccardShingles3, 0, no result, 2, 2, 1, no result, 3, 0, 0, no result
rkrGst5GramOverlapMinMatchLength2, 0, 0, 0, 10, 6, 4, 0, 0, 0, 9
cosineNormalized3GramsBool, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
winnowingNormalizedTokenOverlap, 0, 3, 0, 2, 0, 0, 1, 0, 0, 0
jaccardTokens, 0, 2, 0, 1, 0, 2, 0, 0, 0, 0
overlapNormalizedPadding2grams, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
cosineNormalizedShingle3NormalizedTermFrequency, 0, 2, 0, 0, 0, no result, 0, 0, 0, no result
winnowingNormalizedShingle2DiceVariant, 0, 0, 0, 1, 0, no result, 0, 0, 0, 0
rkrGst2GramDiceMinMatchLength3, 0, 1, 0, 9, 7, 10, 0, 0, 0, 3
cosineNormalized3GramsNormalizedTermFrequency, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
winnowingNormalized5GramJaccard, 0, 6, 2, 0, 0, 4, 4, 0, 3, 0
rkrGstNormalized3GramJaccardMinMatchLength3, 0, 1, 0, 6, 6, 2, 0, 0, 0, 3
winnowingNormalized2GramDice, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
winnowing4GramJaccard, 0, 2, 0, 1, 0, 2, 0, 0, 2, 0
jaccard2Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
