max time for a PostVersionList measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGst4GramDiceVariantMinMatchLength1, 0, 76, 15, 857, 3124, 210, 7, 5, 15, 371
rkrGstNormalized3GramDiceVariantMinMatchLength2, 0, 30, 5, 179, 343, 35, 2, 1, 4, 160
winnowing3GramOverlap, 0, 4, 0, 12, 9, 4, 0, 0, 0, 5
winnowingTokenDiceVariant, 0, 3, 0, 4, 3, 2, 0, 0, 0, 1
winnowingShingle2Dice, 0, 3, 0, 8, 4, no result, 0, 0, 0, 2
rkrGstNormalized5GramJaccardMinMatchLength1, 0, 27, 2, 166, 382, 40, 2, 1, 5, 142
rkrGstNormalizedTokenJaccardMinMatchLength2, 0, 2, 0, 19, 13, 6, 0, 0, 0, 7
diceVariantNormalizedPadding5grams, 0, 5, 0, 14, 10, 4, 0, 0, 1, 5
rkrGst5GramJaccardMinMatchLength1, 0, 39, 6, 410, 3236, 135, 4, 3, 9, 298
manhattanNormalizedTokens, 0, 2, 0, 6, 4, 2, 0, 0, 0, 2
optimalAlignmentShingle3Fingerprint, 0, no result, 0, 24, 10, no result, 0, 0, 0, no result
diceVariant4Grams, 0, 2, 0, 9, 7, 3, 0, 0, 0, 4
optimalAlignmentShingle3FingerprintNormalized, 0, 3, 0, 12, 10, no result, 0, 0, 1, no result
rkrGst4GramJaccardMinMatchLength2, 0, 36, 5, 429, 3335, 175, 5, 5, 11, 328
jaccardNormalizedPadding2grams, 0, 3, 1, 9, 7, 3, 0, 0, 1, 5
rkrGstNormalizedTokenOverlapMinMatchLength2, 0, 2, 0, 18, 13, 6, 0, 0, 0, 6
rkrGstNormalized3GramDiceVariantMinMatchLength1, 0, 36, 3, 157, 343, 40, 2, 1, 4, 159
manhattanNormalized2Grams, 0, 5, 0, 13, 7, 4, 0, 0, 1, 5
rkrGstNormalizedShingle3DiceMinMatchLength1, 0, 5, 0, 29, 29, no result, 0, 0, 1, no result
