similarity (splittings) (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstNormalizedShingle2DiceMinMatchLength1, 0, 1, 0, 1, 0, no result, 0, 0, 0, 0
rkrGstNormalizedShingle3DiceMinMatchLength1, 0, 1, 0, 1, 0, no result, 0, 0, 0, no result
levenshteinNormalized, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
rkrGstNormalized3GramDiceVariantMinMatchLength3, 0, 30, 5, 9, 7, 0, 0, 0, 0, 8
rkrGstShingle3DiceVariantMinMatchLength2, 0, no result, 0, 9, 0, no result, 0, 0, 0, no result
rkrGstNormalized2GramDiceMinMatchLength1, 0, 24, 0, 1, 1, 1, 0, 0, 0, 0
winnowingNormalizedTokenDiceVariant, 0, 2, 0, 1, 0, 0, 0, 0, 0, 1
diceNormalizedPadding3grams, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
rkrGstShingle2DiceMinMatchLength2, 0, 1, 0, 2, 0, no result, 1, 0, 0, 8
rkrGstShingle2DiceVariantMinMatchLength1, 0, 1, 0, 0, 0, no result, 0, 0, 0, 1
optimalAlignment4GramFingerprint, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
rkrGst3GramDiceMinMatchLength2, 0, 9, 0, 1, 0, 1, 0, 0, 0, 0
rkrGstNormalized3GramOverlapMinMatchLength1, 0, 29, 0, 0, 7, 0, 0, 0, 0, 0
rkrGstNormalized2GramOverlapMinMatchLength2, 0, 32, 7, 0, 7, 0, 11, 0, 0, 0
diceVariantShingles2, 0, 1, 0, 0, 0, no result, 0, 0, 0, 1
rkrGstNormalized4GramJaccardMinMatchLength1, 0, 8, 0, 1, 0, 1, 1, 0, 0, 0
rkrGst3GramOverlapMinMatchLength3, 0, 9, 0, 0, 6, 0, 0, 0, 0, 0
rkrGstNormalizedShingle3OverlapMinMatchLength3, 0, 1, 0, 10, 0, no result, 0, 0, 0, no result
overlapShingles3, 0, no result, 0, 2, 0, no result, 0, 0, 0, no result
rkrGstNormalized4GramJaccardMinMatchLength3, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
rkrGstShingle2DiceMinMatchLength1, 0, 1, 0, 1, 0, no result, 1, 0, 0, 1
rkrGstShingle3DiceMinMatchLength2, 0, no result, 0, 10, 0, no result, 1, 0, 0, no result
diceNormalizedPadding2grams, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
overlapNormalizedShingles2, 0, 1, 0, 0, 0, no result, 0, 0, 0, 0
manhattanNormalizedTokens, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1
winnowing3GramJaccard, 0, 5, 0, 1, 1, 2, 2, 0, 0, 2
cosineNormalized5GramsNormalizedTermFrequency, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
manhattanNormalized5Grams, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
winnowingTokenOverlap, 0, 4, 0, 1, 0, 1, 0, 0, 0, 1
rkrGst3GramOverlapMinMatchLength1, 0, 18, 7, 0, 6, 0, 0, 0, 0, 0
damerauLevenshteinStandard, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
diceNormalized2Grams, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
jaccardNormalizedPadding3grams, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
winnowingNormalized3GramJaccard, 0, 5, 1, 1, 0, 2, 2, 0, 0, 1
winnowing5GramDice, 0, 3, 0, 1, 0, 1, 0, 0, 0, 1
winnowingNormalized5GramOverlap, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1
rkrGst5GramDiceVariantMinMatchLength2, 0, 21, 5, 0, 6, 0, 0, 0, 0, 7
winnowingNormalized2GramDiceVariant, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0
rkrGst2GramDiceVariantMinMatchLength2, 0, 31, 6, 4, 11, 0, 10, 0, 10, 8
rkrGstNormalizedShingle3JaccardMinMatchLength1, 0, 2, 0, 2, 0, no result, 1, 0, 0, no result
rkrGstTokenDiceVariantMinMatchLength2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
rkrGstNormalizedTokenJaccardMinMatchLength1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1
overlapNormalized3Grams, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
diceVariant2Grams, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalizedShingle3JaccardMinMatchLength3, 0, 2, 0, 10, 0, no result, 1, 0, 0, no result
manhattanNormalizedShingles3, 0, 1, 0, 1, 0, no result, 0, 0, 0, no result
rkrGstShingle3JaccardMinMatchLength3, 0, no result, 0, 10, 6, no result, 1, 0, 0, no result
rkrGstShingle3JaccardMinMatchLength2, 0, no result, 0, 10, 0, no result, 1, 0, 0, no result
cosineNormalized3GramsBool, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
jaccardShingles3, 0, no result, 0, 2, 0, no result, 1, 0, 0, no result
diceNormalized3Grams, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
rkrGstTokenJaccardMinMatchLength2, 0, 2, 0, 1, 0, 2, 1, 0, 0, 1
winnowingTokenJaccard, 0, 7, 0, 1, 0, 2, 1, 0, 1, 1
rkrGstNormalizedTokenDiceMinMatchLength2, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1
winnowingNormalizedShingle2Overlap, 0, 5, 0, 0, 0, no result, 1, 0, 0, 0
longestCommonSubsequenceShingle3Fingerprint, 0, no result, 0, 2, 0, no result, 1, 0, 0, no result
jaccardNormalizedPadding4grams, 0, 2, 0, 1, 1, 1, 1, 0, 0, 0
rkrGstNormalized5GramOverlapMinMatchLength1, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0
winnowingNormalizedTokenOverlap, 0, 4, 0, 2, 0, 1, 0, 0, 0, 1
rkrGst4GramJaccardMinMatchLength2, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
