total time for 10 PostVersionLists measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
cosineNormalized2GramsBool,0,24,2,1,4,0,5,0,3,1
cosineNormalized2GramsNormalizedTermFrequency,0,23,2,1,4,0,5,0,3,1
cosineNormalized2GramsTermFrequency,0,23,2,1,4,0,4,0,3,0
cosineNormalized3GramsBool,0,30,2,1,5,0,6,0,4,1
cosineNormalized3GramsNormalizedTermFrequency,0,31,2,1,5,0,6,0,4,1
cosineNormalized3GramsTermFrequency,0,47,2,1,10,1,10,0,5,1
cosineNormalized4GramsBool,0,34,2,1,5,0,7,0,5,1
cosineNormalized4GramsNormalizedTermFrequency,0,61,3,4,11,0,8,0,8,1
cosineNormalized4GramsTermFrequency,0,37,2,1,5,0,10,0,5,1
cosineNormalized5GramsBool,0,36,3,1,6,0,7,0,6,1
cosineNormalized5GramsNormalizedTermFrequency,0,38,3,1,7,0,7,0,5,1
cosineNormalized5GramsTermFrequency,0,38,2,1,6,0,7,0,6,1
cosineNormalizedShingle2Bool,0,26,1,1,4, no result,5,0,3,0
cosineNormalizedShingle2NormalizedTermFrequency,0,27,2,1,5, no result,5,0,3,0
cosineNormalizedShingle2TermFrequency,0,31,2,1,5, no result,5,0,4,0
cosineNormalizedShingle3Bool,0,27,2,1,7, no result,7,0,4, no result
cosineNormalizedShingle3NormalizedTermFrequency,0,27,2,1,5, no result,6,0,4, no result
cosineNormalizedShingle3TermFrequency,0,28,2,1,5, no result,8,0,4, no result
cosineNormalizedTokensBool,0,15,1,2,2,0,2,0,1,0
cosineNormalizedTokensNormalizedTermFrequency,0,11,0,0,3,0,2,0,1,0
cosineNormalizedTokensTermFrequency,0,11,0,0,2,0,2,0,1,0
damerauLevenshteinNormalized,0,583,34,2,71,1,149,0,70,3
damerauLevenshteinStandard,0,629,33,2,70,1,138,0,67,3
dice2Grams,0,11,1,0,3,0,2,0,1,0
dice3Grams,0,13,1,0,2,0,3,0,2,0
dice4Grams,0,16,1,0,2,0,4,0,2,0
dice5Grams,0,15,1,0,2,0,3,0,2,0
diceNormalized2Grams,0,17,1,1,3,0,5,0,3,0
diceNormalized3Grams,0,18,3,0,4,0,4,0,2,0
diceNormalized4Grams,0,20,1,0,3,0,4,0,2,0
diceNormalized5Grams,0,20,1,0,3,0,4,0,2,0
diceNormalizedPadding2grams,0,17,1,0,2,0,3,0,2,0
diceNormalizedPadding3grams,0,19,1,1,3,0,4,0,2,0
diceNormalizedPadding4grams,0,25,1,1,3,0,4,0,3,0
diceNormalizedPadding5grams,0,22,1,1,4,0,5,0,3,0
diceNormalizedShingles2,0,23,1,1,4, no result,4,0,3,0
diceNormalizedShingles3,0,23,1,2,4, no result,5,0,3, no result
diceNormalizedTokens,0,8,0,0,1,0,1,0,2,0
diceShingles2,0,12,0,0,2, no result,2,0,1,0
diceShingles3,0, no result,1,0,2, no result,2,0,2, no result
diceTokens,0,4,0,0,0,0,0,0,0,0
diceVariant2Grams,0,11,1,0,2,0,2,0,1,0
diceVariant3Grams,0,14,1,0,2,0,2,0,2,0
diceVariant4Grams,0,19,3,0,3,0,3,0,2,0
diceVariant5Grams,0,16,1,0,2,0,3,0,2,0
diceVariantNormalized2Grams,0,16,1,0,3,0,3,0,2,0
diceVariantNormalized3Grams,0,28,1,1,3,0,5,0,3,0
diceVariantNormalized4Grams,0,20,1,0,3,0,4,0,2,0
diceVariantNormalized5Grams,0,19,1,0,3,0,4,0,2,0
diceVariantNormalizedPadding2grams,0,17,1,0,3,0,3,0,2,0
diceVariantNormalizedPadding3grams,0,18,1,1,3,0,4,0,2,0
diceVariantNormalizedPadding4grams,0,21,1,1,3,0,4,0,3,0
diceVariantNormalizedPadding5grams,0,59,2,1,4,0,5,0,3,0
diceVariantNormalizedShingles2,0,26,2,1,4, no result,5,0,3,0
diceVariantNormalizedShingles3,0,23,1,1,4, no result,4,0,3, no result
diceVariantNormalizedTokens,0,8,0,0,1,0,1,0,1,0
diceVariantShingles2,0,12,0,0,2, no result,2,0,1,0
diceVariantShingles3,0, no result,0,0,2, no result,2,0,2, no result
diceVariantTokens,0,4,0,0,0,0,0,0,0,0
jaccard2Grams,0,13,1,0,2,0,4,0,2,0
jaccard3Grams,0,16,1,0,3,0,3,0,2,0
jaccard4Grams,0,18,1,0,3,0,4,0,2,0
jaccard5Grams,0,24,1,1,4,0,4,0,2,0
jaccardNormalized2Grams,0,18,1,1,3,0,5,0,2,0
jaccardNormalized3Grams,0,22,1,1,3,0,5,0,3,0
jaccardNormalized4Grams,0,22,1,0,3,0,4,0,3,0
jaccardNormalized5Grams,0,24,1,0,4,0,5,0,3,0
jaccardNormalizedPadding2grams,0,19,1,1,3,0,4,0,3,0
jaccardNormalizedPadding3grams,0,21,2,1,5,0,4,0,3,0
jaccardNormalizedPadding4grams,0,24,2,1,4,0,4,0,3,0
jaccardNormalizedPadding5grams,0,27,1,1,4,0,5,0,3,0
jaccardNormalizedShingles2,0,26,1,1,4, no result,5,0,3,0
jaccardNormalizedShingles3,0,25,1,1,4, no result,5,0,3, no result
jaccardNormalizedTokens,0,22,1,0,4,0,5,0,3,0
jaccardShingles2,0,12,0,0,2, no result,3,0,2,0
jaccardShingles3,0, no result,0,0,2, no result,4,0,2, no result
jaccardTokens,0,4,0,0,0,0,0,0,0,0
levenshteinNormalized,0,99,6,0,12,0,23,0,11,0
levenshteinStandard,0,111,5,0,11,0,22,0,10,0
longestCommonSubsequence2GramFingerprint,0,41,2,0,6,0,9,0,5,0
longestCommonSubsequence2GramFingerprintNormalized,0,105,7,1,13,0,24,0,12,1
longestCommonSubsequence3GramFingerprint,0,30,2,0,4,0,6,0,3,0
longestCommonSubsequence3GramFingerprintNormalized,0,74,5,0,11,0,18,0,9,1
longestCommonSubsequence4GramFingerprint,0,20,1,0,3,0,4,0,3,0
longestCommonSubsequence4GramFingerprintNormalized,0,99,6,1,12,0,23,0,12,1
longestCommonSubsequence5GramFingerprint,0,18,1,0,2,0,3,0,4,0
longestCommonSubsequence5GramFingerprintNormalized,0,131,7,1,11,0,24,0,13,1
longestCommonSubsequenceNormalized,0,169,10,1,22,0,39,0,19,1
longestCommonSubsequenceShingle2Fingerprint,0,14,0,0,2, no result,3,0,2,0
longestCommonSubsequenceShingle2FingerprintNormalized,0,22,1,1,4, no result,4,0,3,0
longestCommonSubsequenceShingle3Fingerprint,0, no result,0,0,2, no result,2,0,2, no result
longestCommonSubsequenceShingle3FingerprintNormalized,0,23,1,1,4, no result,6,0,3, no result
longestCommonSubsequenceStandard,0,236,10,1,21,0,39,0,19,1
manhattanNormalized2Grams,0,25,2,1,4,0,5,0,4,1
manhattanNormalized3Grams,0,29,2,1,5,0,8,0,6,1
manhattanNormalized4Grams,0,36,2,1,5,0,6,0,5,1
manhattanNormalized5Grams,0,41,3,1,6,1,10,0,8,1
manhattanNormalizedShingles2,0,25,1,1,4, no result,5,0,3,0
manhattanNormalizedShingles3,0,27,2,1,5, no result,5,0,4, no result
manhattanNormalizedTokens,0,25,0,2,2,0,2,0,1,0
optimalAlignment2GramFingerprint,0,293,15,1,34,0,59,0,29,1
