average time for 10 PostVersionLists measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
jaccardNormalized2Grams, 0.0, 19.0, 1.0, 1.0, 3.0, 0.0, 4.0, 0.0, 3.0, 0.0
diceVariantNormalizedShingles2, 0.0, 21.0, 1.0, 1.0, 4.0, no result, 4.0, 0.0, 3.0, 0.0
winnowing5GramOverlap, 0.0, 15.0, 1.0, 0.0, 3.0, 0.0, 3.0, 0.0, 2.0, 0.0
diceVariantNormalized2Grams, 0.0, 17.0, 1.0, 1.0, 3.0, 0.0, 3.0, 0.0, 2.0, 0.0
jaccard4Grams, 0.0, 21.0, 1.0, 0.0, 3.0, 0.0, 4.0, 0.0, 3.0, 0.0
rkrGst5GramJaccardMinMatchLength1, 0.0, 1027.0, 39.0, 6.0, 84.0, 2.0, 95.0, 0.0, 98.0, 6.0
rkrGstNormalizedShingle3DiceMinMatchLength1, 0.0, 104.0, 4.0, 1.0, 17.0, no result, 20.0, 0.0, 11.0, no result
winnowingNormalized4GramOverlap, 0.0, 19.0, 1.0, 1.0, 3.0, 0.0, 4.0, 0.0, 2.0, 0.0
winnowingShingle2DiceVariant, 0.0, 11.0, 0.0, 0.0, 2.0, no result, 2.0, 0.0, 1.0, 0.0
overlap4Grams, 0.0, 17.0, 1.0, 0.0, 2.0, 0.0, 3.0, 0.0, 2.0, 0.0
cosineNormalized5GramsBool, 0.0, 37.0, 2.0, 1.0, 6.0, 0.0, 7.0, 0.0, 5.0, 1.0
cosineNormalizedShingle3TermFrequency, 0.0, 29.0, 1.0, 1.0, 5.0, no result, 5.0, 0.0, 4.0, no result
rkrGstNormalized4GramDiceVariantMinMatchLength2, 0.0, 571.0, 19.0, 4.0, 57.0, 2.0, 64.0, 0.0, 44.0, 4.0
rkrGst2GramDiceVariantMinMatchLength2, 0.0, 736.0, 40.0, 10.0, 85.0, 2.0, 73.0, 0.0, 53.0, 4.0
winnowing4GramDice, 0.0, 19.0, 1.0, 0.0, 3.0, 0.0, 3.0, 0.0, 2.0, 0.0
