similarity (false positives) (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
cosineNormalized2GramsBool,0,0,0,0,0,0,0,0,0,0
cosineNormalized2GramsNormalizedTermFrequency,0,0,0,0,0,0,0,0,0,0
cosineNormalized2GramsTermFrequency,0,0,0,0,0,0,0,0,0,0
cosineNormalized3GramsBool,0,0,0,0,0,0,0,0,0,0
cosineNormalized3GramsNormalizedTermFrequency,0,0,0,0,0,0,0,0,0,0
cosineNormalized3GramsTermFrequency,0,0,0,0,0,0,0,0,0,0
cosineNormalized4GramsBool,0,0,0,0,0,0,0,0,0,0
cosineNormalized4GramsNormalizedTermFrequency,0,0,0,0,0,0,0,0,0,0
cosineNormalized4GramsTermFrequency,0,0,0,0,0,0,0,0,0,0
cosineNormalized5GramsBool,0,0,0,0,0,0,0,0,0,0
cosineNormalized5GramsNormalizedTermFrequency,0,0,0,0,0,0,0,0,0,0
cosineNormalized5GramsTermFrequency,0,0,0,0,0,0,0,0,0,0
cosineNormalizedShingle2Bool,0,0,0,0,0, no result,0,0,0,0
cosineNormalizedShingle2NormalizedTermFrequency,0,0,0,0,0, no result,0,0,0,0
cosineNormalizedShingle2TermFrequency,0,0,0,0,0, no result,0,0,0,0
cosineNormalizedShingle3Bool,0,0,0,0,0, no result,0,0,0, no result
cosineNormalizedShingle3NormalizedTermFrequency,0,0,0,0,0, no result,0,0,0, no result
cosineNormalizedShingle3TermFrequency,0,0,0,0,0, no result,0,0,0, no result
cosineNormalizedTokensBool,0,0,0,0,0,0,0,0,0,0
cosineNormalizedTokensNormalizedTermFrequency,0,0,0,0,0,0,0,0,0,0
cosineNormalizedTokensTermFrequency,0,0,0,0,0,0,0,0,0,0
damerauLevenshteinNormalized,0,0,0,0,0,0,0,0,0,0
damerauLevenshteinStandard,0,0,0,0,0,0,0,0,0,0
dice2Grams,0,0,0,0,0,0,0,0,0,0
dice3Grams,0,0,0,0,0,0,0,0,0,0
dice4Grams,0,0,0,0,0,0,0,0,0,0
dice5Grams,0,0,0,0,0,0,0,0,0,0
diceNormalized2Grams,0,0,0,0,0,0,0,0,0,0
diceNormalized3Grams,0,0,0,0,0,0,0,0,0,0
diceNormalized4Grams,0,0,0,0,0,0,0,0,0,0
diceNormalized5Grams,0,0,0,0,0,0,0,0,0,0
diceNormalizedPadding2grams,0,0,0,0,0,0,0,0,0,0
diceNormalizedPadding3grams,0,0,0,0,0,0,0,0,0,0
diceNormalizedPadding4grams,0,0,0,0,0,0,0,0,0,0
diceNormalizedPadding5grams,0,0,0,0,0,0,0,0,0,0
diceNormalizedShingles2,0,0,0,0,0, no result,0,0,0,0
diceNormalizedShingles3,0,0,0,0,0, no result,0,0,0, no result
diceNormalizedTokens,0,0,0,0,0,0,0,0,0,0
diceShingles2,0,0,0,0,0, no result,0,0,0,0
diceShingles3,0, no result,0,0,0, no result,0,0,0, no result
diceTokens,0,0,0,0,0,0,0,0,0,0
diceVariant2Grams,0,34,0,0,0,0,0,0,0,0
diceVariant3Grams,0,34,0,0,0,0,0,0,0,0
diceVariant4Grams,0,24,0,0,0,0,0,0,0,0
diceVariant5Grams,0,10,0,0,0,0,0,0,0,0
diceVariantNormalized2Grams,0,34,0,0,0,0,0,0,0,0
diceVariantNormalized3Grams,0,24,0,0,0,0,0,0,0,0
diceVariantNormalized4Grams,0,10,0,0,0,0,0,0,0,0
