similarity (false positives) (text), 3758880
winnowingNormalizedTokenDiceVariant, 0
winnowingTokenDiceVariant, 0
winnowingNormalized3GramDiceVariant, 0
optimalAlignment2GramFingerprintNormalized, 0
winnowingNormalized5GramDiceVariant, 0
diceVariantNormalizedTokens, 0
winnowingNormalizedShingle3Dice, no result
diceVariantNormalized4Grams, 0
longestCommonSubsequence4GramFingerprint, 0
longestCommonSubsequence5GramFingerprintNormalized, 0
diceVariantNormalizedPadding4grams, 0
longestCommonSubsequence2GramFingerprintNormalized, 0
overlapShingles2, no result
manhattanNormalizedTokens, 0
winnowingNormalized3GramJaccard, 0
diceVariantNormalizedShingles2, no result
cosineNormalized2GramsNormalizedTermFrequency, 0
cosineNormalized3GramsTermFrequency, 0
overlapNormalizedPadding5grams, 0
winnowingNormalized2GramDiceVariant, 0
winnowing5GramDice, 0
winnowingShingle2Dice, no result
overlapNormalizedPadding3grams, 0
overlapNormalized5Grams, 0
jaccard2Grams, 0
winnowingNormalized4GramDice, 0
overlap5Grams, 0
winnowingNormalized2GramOverlap, 0
optimalAlignment5GramFingerprintNormalized, 0
diceNormalizedPadding5grams, 0
overlap2Grams, 0
jaccardNormalizedPadding5grams, 0
overlapNormalized4Grams, 0
damerauLevenshteinStandard, 0
longestCommonSubsequenceShingle3FingerprintNormalized, no result
winnowing5GramOverlap, 0
longestCommonSubsequenceShingle2Fingerprint, no result
winnowingNormalizedShingle2Overlap, no result
cosineNormalized2GramsTermFrequency, 0
diceShingles3, no result
diceNormalizedShingles2, no result
winnowingNormalizedTokenOverlap, 0
winnowingTokenOverlap, 0
diceNormalizedPadding3grams, 0
jaccardShingles2, no result
dice3Grams, 0
winnowing4GramDice, 0
winnowingShingle3Overlap, no result
overlap3Grams, 0
cosineNormalized4GramsTermFrequency, 0
diceVariantTokens, 0
winnowingNormalizedTokenDice, 0
cosineNormalizedShingle2Bool, no result
winnowing3GramOverlap, 0
winnowing5GramDiceVariant, 0
winnowing5GramJaccard, 0
winnowingNormalized5GramDice, 0
diceNormalized5Grams, 0
cosineNormalizedTokensNormalizedTermFrequency, 0
jaccardNormalizedShingles3, no result
diceNormalizedPadding4grams, 0
winnowingNormalized2GramJaccard, 0
diceNormalized2Grams, 0
winnowingNormalized5GramJaccard, 0
winnowingNormalized3GramDice, 0
diceVariantShingles3, no result
overlapNormalized3Grams, 0
winnowingShingle2DiceVariant, no result
optimalAlignment4GramFingerprint, 0
jaccard3Grams, 0
cosineNormalizedTokensBool, 0
winnowingNormalized4GramJaccard, 0
winnowingNormalized5GramOverlap, 0
diceShingles2, no result
optimalAlignmentStandard, 0
longestCommonSubsequenceShingle2FingerprintNormalized, no result
jaccardShingles3, no result
cosineNormalizedShingle2NormalizedTermFrequency, no result
winnowingTokenDice, 0
diceTokens, 0
diceVariantNormalized3Grams, 0
jaccardNormalizedPadding4grams, 0
cosineNormalizedShingle3Bool, no result
overlapNormalizedShingles2, no result
diceVariantNormalizedPadding2grams, 0
dice4Grams, 0
cosineNormalized5GramsBool, 0
optimalAlignmentShingle2FingerprintNormalized, no result
cosineNormalized5GramsNormalizedTermFrequency, 0
diceVariant2Grams, 0
diceNormalized3Grams, 0
overlapNormalized2Grams, 0
