similarity (true negatives) (code), 3758880
winnowingNormalizedTokenDiceVariant, 1
winnowingTokenDiceVariant, 1
winnowingNormalized3GramDiceVariant, 1
optimalAlignment2GramFingerprintNormalized, 1
winnowingNormalized5GramDiceVariant, 1
diceVariantNormalizedTokens, 1
winnowingNormalizedShingle3Dice, no result
diceVariantNormalized4Grams, 1
longestCommonSubsequence4GramFingerprint, 1
longestCommonSubsequence5GramFingerprintNormalized, 1
diceVariantNormalizedPadding4grams, 1
longestCommonSubsequence2GramFingerprintNormalized, 1
overlapShingles2, no result
manhattanNormalizedTokens, 1
winnowingNormalized3GramJaccard, 1
diceVariantNormalizedShingles2, no result
cosineNormalized2GramsNormalizedTermFrequency, 1
cosineNormalized3GramsTermFrequency, 1
overlapNormalizedPadding5grams, 1
winnowingNormalized2GramDiceVariant, 1
winnowing5GramDice, 1
winnowingShingle2Dice, no result
overlapNormalizedPadding3grams, 1
overlapNormalized5Grams, 1
jaccard2Grams, 1
winnowingNormalized4GramDice, 1
overlap5Grams, 1
winnowingNormalized2GramOverlap, 1
optimalAlignment5GramFingerprintNormalized, 1
diceNormalizedPadding5grams, 1
overlap2Grams, 1
jaccardNormalizedPadding5grams, 1
overlapNormalized4Grams, 1
damerauLevenshteinStandard, 1
longestCommonSubsequenceShingle3FingerprintNormalized, no result
winnowing5GramOverlap, 1
longestCommonSubsequenceShingle2Fingerprint, no result
winnowingNormalizedShingle2Overlap, no result
cosineNormalized2GramsTermFrequency, 1
diceShingles3, no result
diceNormalizedShingles2, no result
winnowingNormalizedTokenOverlap, 1
winnowingTokenOverlap, 1
diceNormalizedPadding3grams, 1
jaccardShingles2, no result
dice3Grams, 1
winnowing4GramDice, 1
winnowingShingle3Overlap, no result
overlap3Grams, 1
cosineNormalized4GramsTermFrequency, 1
diceVariantTokens, 1
winnowingNormalizedTokenDice, 1
cosineNormalizedShingle2Bool, no result
winnowing3GramOverlap, 1
winnowing5GramDiceVariant, 1
winnowing5GramJaccard, 1
winnowingNormalized5GramDice, 1
diceNormalized5Grams, 1
cosineNormalizedTokensNormalizedTermFrequency, 1
jaccardNormalizedShingles3, no result
diceNormalizedPadding4grams, 1
winnowingNormalized2GramJaccard, 1
diceNormalized2Grams, 1
winnowingNormalized5GramJaccard, 1
winnowingNormalized3GramDice, 1
diceVariantShingles3, no result
overlapNormalized3Grams, 1
winnowingShingle2DiceVariant, no result
optimalAlignment4GramFingerprint, 1
jaccard3Grams, 1
cosineNormalizedTokensBool, 1
winnowingNormalized4GramJaccard, 1
winnowingNormalized5GramOverlap, 1
diceShingles2, no result
optimalAlignmentStandard, 1
longestCommonSubsequenceShingle2FingerprintNormalized, no result
jaccardShingles3, no result
cosineNormalizedShingle2NormalizedTermFrequency, no result
winnowingTokenDice, 1
diceTokens, 1
diceVariantNormalized3Grams, 1
jaccardNormalizedPadding4grams, 1
cosineNormalizedShingle3Bool, no result
overlapNormalizedShingles2, no result
diceVariantNormalizedPadding2grams, 1
dice4Grams, 1
cosineNormalized5GramsBool, 1
optimalAlignmentShingle2FingerprintNormalized, no result
cosineNormalized5GramsNormalizedTermFrequency, 1
diceVariant2Grams, 1
diceNormalized3Grams, 1
overlapNormalized2Grams, 1
diceVariantNormalizedPadding5grams, 1
diceNormalizedPadding2grams, 1
optimalAlignmentShingle3FingerprintNormalized, no result
winnowing2GramDice, 1
manhattanNormalized4Grams, 1
jaccardTokens, 1
diceVariantNormalizedShingles3, no result
levenshteinNormalized, 1
winnowingShingle2Jaccard, no result
overlapNormalizedPadding2grams, 1
jaccardNormalized5Grams, 1
winnowingNormalizedShingle2Jaccard, no result
jaccardNormalized4Grams, 1
overlapTokens, 1
jaccardNormalizedTokens, 1
overlapNormalizedShingles3, no result
winnowingNormalized3GramOverlap, 1
diceVariant4Grams, 1
optimalAlignment3GramFingerprint, 1
cosineNormalizedShingle3TermFrequency, no result
optimalAlignment5GramFingerprint, 1
overlapNormalizedTokens, 1
winnowingShingle3Jaccard, no result
longestCommonSubsequenceNormalized, 1
manhattanNormalized3Grams, 1
manhattanNormalized2Grams, 1
cosineNormalizedShingle3NormalizedTermFrequency, no result
winnowingNormalizedShingle2DiceVariant, no result
manhattanNormalizedShingles3, no result
overlapNormalizedPadding4grams, 1
jaccardNormalizedPadding3grams, 1
longestCommonSubsequence3GramFingerprint, 1
winnowingNormalizedShingle3DiceVariant, no result
winnowing4GramJaccard, 1
diceNormalizedShingles3, no result
diceVariantShingles2, no result
cosineNormalized3GramsNormalizedTermFrequency, 1
jaccardNormalized3Grams, 1
optimalAlignmentShingle2Fingerprint, no result
jaccardNormalizedShingles2, no result
manhattanNormalized5Grams, 1
dice5Grams, 1
longestCommonSubsequence4GramFingerprintNormalized, 1
winnowingNormalized2GramDice, 1
levenshteinStandard, 1
winnowing2GramDiceVariant, 1
longestCommonSubsequence5GramFingerprint, 1
winnowingNormalized4GramOverlap, 1
dice2Grams, 1
diceNormalizedTokens, 1
winnowingShingle3Dice, no result
cosineNormalizedTokensTermFrequency, 1
winnowingTokenJaccard, 1
winnowing3GramDice, 1
cosineNormalized3GramsBool, 1
longestCommonSubsequenceShingle3Fingerprint, no result
manhattanNormalizedShingles2, no result
winnowing2GramJaccard, 1
optimalAlignment2GramFingerprint, 1
winnowing4GramOverlap, 1
diceVariantNormalized2Grams, 1
winnowing4GramDiceVariant, 1
winnowingNormalizedTokenJaccard, 1
diceVariantNormalized5Grams, 1
cosineNormalized5GramsTermFrequency, 1
winnowing3GramJaccard, 1
diceVariant3Grams, 1
winnowing3GramDiceVariant, 1
jaccardNormalizedPadding2grams, 1
cosineNormalized4GramsBool, 1
winnowingNormalizedShingle2Dice, no result
jaccardNormalized2Grams, 1
diceVariantNormalizedPadding3grams, 1
cosineNormalizedShingle2TermFrequency, no result
diceNormalized4Grams, 1
winnowingNormalized4GramDiceVariant, 1
longestCommonSubsequenceStandard, 1
longestCommonSubsequence2GramFingerprint, 1
diceVariant5Grams, 1
jaccard5Grams, 1
optimalAlignmentNormalized, 1
optimalAlignment4GramFingerprintNormalized, 1
winnowing2GramOverlap, 1
winnowingNormalizedShingle3Jaccard, no result
cosineNormalized2GramsBool, 1
damerauLevenshteinNormalized, 1
winnowingShingle3DiceVariant, no result
cosineNormalized4GramsNormalizedTermFrequency, 1
overlap4Grams, 1
longestCommonSubsequence3GramFingerprintNormalized, 1
winnowingShingle2Overlap, no result
overlapShingles3, no result
winnowingNormalizedShingle3Overlap, no result
optimalAlignment3GramFingerprintNormalized, 1
jaccard4Grams, 1
optimalAlignmentShingle3Fingerprint, no result
