similarity (true positives) (code), 3758880
winnowingNormalizedTokenDiceVariant, 20
winnowingTokenDiceVariant, 20
winnowingNormalized3GramDiceVariant, 20
optimalAlignment2GramFingerprintNormalized, 20
winnowingNormalized5GramDiceVariant, 20
diceVariantNormalizedTokens, 20
winnowingNormalizedShingle3Dice, no result
diceVariantNormalized4Grams, 20
longestCommonSubsequence4GramFingerprint, 20
longestCommonSubsequence5GramFingerprintNormalized, 20
diceVariantNormalizedPadding4grams, 20
longestCommonSubsequence2GramFingerprintNormalized, 20
overlapShingles2, no result
manhattanNormalizedTokens, 20
winnowingNormalized3GramJaccard, 20
diceVariantNormalizedShingles2, no result
cosineNormalized2GramsNormalizedTermFrequency, 20
cosineNormalized3GramsTermFrequency, 20
overlapNormalizedPadding5grams, 20
winnowingNormalized2GramDiceVariant, 20
winnowing5GramDice, 20
winnowingShingle2Dice, no result
overlapNormalizedPadding3grams, 20
overlapNormalized5Grams, 20
jaccard2Grams, 20
winnowingNormalized4GramDice, 20
overlap5Grams, 20
winnowingNormalized2GramOverlap, 20
optimalAlignment5GramFingerprintNormalized, 20
diceNormalizedPadding5grams, 20
overlap2Grams, 20
jaccardNormalizedPadding5grams, 20
overlapNormalized4Grams, 20
damerauLevenshteinStandard, 20
longestCommonSubsequenceShingle3FingerprintNormalized, no result
winnowing5GramOverlap, 20
longestCommonSubsequenceShingle2Fingerprint, no result
winnowingNormalizedShingle2Overlap, no result
cosineNormalized2GramsTermFrequency, 20
diceShingles3, no result
diceNormalizedShingles2, no result
winnowingNormalizedTokenOverlap, 20
winnowingTokenOverlap, 20
diceNormalizedPadding3grams, 20
jaccardShingles2, no result
dice3Grams, 20
winnowing4GramDice, 20
winnowingShingle3Overlap, no result
overlap3Grams, 20
cosineNormalized4GramsTermFrequency, 20
diceVariantTokens, 20
winnowingNormalizedTokenDice, 20
cosineNormalizedShingle2Bool, no result
winnowing3GramOverlap, 20
winnowing5GramDiceVariant, 20
winnowing5GramJaccard, 20
winnowingNormalized5GramDice, 20
diceNormalized5Grams, 20
cosineNormalizedTokensNormalizedTermFrequency, 20
jaccardNormalizedShingles3, no result
diceNormalizedPadding4grams, 20
winnowingNormalized2GramJaccard, 20
diceNormalized2Grams, 20
winnowingNormalized5GramJaccard, 20
winnowingNormalized3GramDice, 20
diceVariantShingles3, no result
overlapNormalized3Grams, 20
winnowingShingle2DiceVariant, no result
optimalAlignment4GramFingerprint, 20
jaccard3Grams, 20
cosineNormalizedTokensBool, 20
winnowingNormalized4GramJaccard, 20
winnowingNormalized5GramOverlap, 20
diceShingles2, no result
optimalAlignmentStandard, 20
longestCommonSubsequenceShingle2FingerprintNormalized, no result
jaccardShingles3, no result
cosineNormalizedShingle2NormalizedTermFrequency, no result
winnowingTokenDice, 20
diceTokens, 20
diceVariantNormalized3Grams, 20
jaccardNormalizedPadding4grams, 20
cosineNormalizedShingle3Bool, no result
overlapNormalizedShingles2, no result
diceVariantNormalizedPadding2grams, 20
dice4Grams, 20
cosineNormalized5GramsBool, 20
optimalAlignmentShingle2FingerprintNormalized, no result
cosineNormalized5GramsNormalizedTermFrequency, 20
diceVariant2Grams, 20
diceNormalized3Grams, 20
overlapNormalized2Grams, 20
diceVariantNormalizedPadding5grams, 20
diceNormalizedPadding2grams, 20
optimalAlignmentShingle3FingerprintNormalized, no result
winnowing2GramDice, 20
manhattanNormalized4Grams, 20
jaccardTokens, 20
diceVariantNormalizedShingles3, no result
levenshteinNormalized, 20
winnowingShingle2Jaccard, no result
overlapNormalizedPadding2grams, 20
jaccardNormalized5Grams, 20
winnowingNormalizedShingle2Jaccard, no result
jaccardNormalized4Grams, 20
overlapTokens, 20
jaccardNormalizedTokens, 20
overlapNormalizedShingles3, no result
winnowingNormalized3GramOverlap, 20
diceVariant4Grams, 20
optimalAlignment3GramFingerprint, 20
cosineNormalizedShingle3TermFrequency, no result
optimalAlignment5GramFingerprint, 20
overlapNormalizedTokens, 20
winnowingShingle3Jaccard, no result
longestCommonSubsequenceNormalized, 20
manhattanNormalized3Grams, 20
manhattanNormalized2Grams, 20
cosineNormalizedShingle3NormalizedTermFrequency, no result
winnowingNormalizedShingle2DiceVariant, no result
manhattanNormalizedShingles3, no result
overlapNormalizedPadding4grams, 20
jaccardNormalizedPadding3grams, 20
longestCommonSubsequence3GramFingerprint, 20
winnowingNormalizedShingle3DiceVariant, no result
winnowing4GramJaccard, 20
diceNormalizedShingles3, no result
diceVariantShingles2, no result
cosineNormalized3GramsNormalizedTermFrequency, 20
jaccardNormalized3Grams, 20
optimalAlignmentShingle2Fingerprint, no result
jaccardNormalizedShingles2, no result
manhattanNormalized5Grams, 20
dice5Grams, 20
longestCommonSubsequence4GramFingerprintNormalized, 20
winnowingNormalized2GramDice, 20
levenshteinStandard, 20
winnowing2GramDiceVariant, 20
longestCommonSubsequence5GramFingerprint, 20
winnowingNormalized4GramOverlap, 20
dice2Grams, 20
diceNormalizedTokens, 20
winnowingShingle3Dice, no result
cosineNormalizedTokensTermFrequency, 20
winnowingTokenJaccard, 20
winnowing3GramDice, 20
cosineNormalized3GramsBool, 20
longestCommonSubsequenceShingle3Fingerprint, no result
manhattanNormalizedShingles2, no result
winnowing2GramJaccard, 20
optimalAlignment2GramFingerprint, 20
winnowing4GramOverlap, 20
diceVariantNormalized2Grams, 20
winnowing4GramDiceVariant, 20
winnowingNormalizedTokenJaccard, 20
diceVariantNormalized5Grams, 20
cosineNormalized5GramsTermFrequency, 20
winnowing3GramJaccard, 20
diceVariant3Grams, 20
winnowing3GramDiceVariant, 20
jaccardNormalizedPadding2grams, 20
cosineNormalized4GramsBool, 20
winnowingNormalizedShingle2Dice, no result
jaccardNormalized2Grams, 20
diceVariantNormalizedPadding3grams, 20
cosineNormalizedShingle2TermFrequency, no result
diceNormalized4Grams, 20
winnowingNormalized4GramDiceVariant, 20
longestCommonSubsequenceStandard, 20
longestCommonSubsequence2GramFingerprint, 20
diceVariant5Grams, 20
jaccard5Grams, 20
optimalAlignmentNormalized, 20
optimalAlignment4GramFingerprintNormalized, 20
winnowing2GramOverlap, 20
winnowingNormalizedShingle3Jaccard, no result
cosineNormalized2GramsBool, 20
damerauLevenshteinNormalized, 20
winnowingShingle3DiceVariant, no result
cosineNormalized4GramsNormalizedTermFrequency, 20
overlap4Grams, 20
longestCommonSubsequence3GramFingerprintNormalized, 20
winnowingShingle2Overlap, no result
overlapShingles3, no result
winnowingNormalizedShingle3Overlap, no result
optimalAlignment3GramFingerprintNormalized, 20
jaccard4Grams, 20
optimalAlignmentShingle3Fingerprint, no result
