similarity (true positives) (text), 3758880
winnowingNormalizedTokenDiceVariant, 19
winnowingTokenDiceVariant, 19
winnowingNormalized3GramDiceVariant, 19
optimalAlignment2GramFingerprintNormalized, 19
winnowingNormalized5GramDiceVariant, 19
diceVariantNormalizedTokens, 19
winnowingNormalizedShingle3Dice, no result
diceVariantNormalized4Grams, 19
longestCommonSubsequence4GramFingerprint, 19
longestCommonSubsequence5GramFingerprintNormalized, 19
diceVariantNormalizedPadding4grams, 19
longestCommonSubsequence2GramFingerprintNormalized, 19
overlapShingles2, no result
manhattanNormalizedTokens, 19
winnowingNormalized3GramJaccard, 19
diceVariantNormalizedShingles2, no result
cosineNormalized2GramsNormalizedTermFrequency, 19
cosineNormalized3GramsTermFrequency, 19
overlapNormalizedPadding5grams, 19
winnowingNormalized2GramDiceVariant, 19
winnowing5GramDice, 19
winnowingShingle2Dice, no result
overlapNormalizedPadding3grams, 19
overlapNormalized5Grams, 19
jaccard2Grams, 19
winnowingNormalized4GramDice, 19
overlap5Grams, 19
winnowingNormalized2GramOverlap, 19
optimalAlignment5GramFingerprintNormalized, 19
diceNormalizedPadding5grams, 19
overlap2Grams, 19
jaccardNormalizedPadding5grams, 19
overlapNormalized4Grams, 19
damerauLevenshteinStandard, 19
longestCommonSubsequenceShingle3FingerprintNormalized, no result
winnowing5GramOverlap, 19
longestCommonSubsequenceShingle2Fingerprint, no result
winnowingNormalizedShingle2Overlap, no result
cosineNormalized2GramsTermFrequency, 19
diceShingles3, no result
diceNormalizedShingles2, no result
winnowingNormalizedTokenOverlap, 19
winnowingTokenOverlap, 19
diceNormalizedPadding3grams, 19
jaccardShingles2, no result
dice3Grams, 19
winnowing4GramDice, 19
winnowingShingle3Overlap, no result
overlap3Grams, 19
cosineNormalized4GramsTermFrequency, 19
diceVariantTokens, 19
winnowingNormalizedTokenDice, 19
cosineNormalizedShingle2Bool, no result
winnowing3GramOverlap, 19
winnowing5GramDiceVariant, 19
winnowing5GramJaccard, 19
winnowingNormalized5GramDice, 19
diceNormalized5Grams, 19
cosineNormalizedTokensNormalizedTermFrequency, 19
jaccardNormalizedShingles3, no result
diceNormalizedPadding4grams, 19
winnowingNormalized2GramJaccard, 19
diceNormalized2Grams, 19
winnowingNormalized5GramJaccard, 19
