total time for all PostVersionLists measured (code), 3758880
winnowingNormalizedTokenDiceVariant, 67
winnowingTokenDiceVariant, 32
winnowingNormalized3GramDiceVariant, 19
optimalAlignment2GramFingerprintNormalized, 49
winnowingNormalized5GramDiceVariant, 8
diceVariantNormalizedTokens, 8
winnowingNormalizedShingle3Dice, no result
diceVariantNormalized4Grams, 11
longestCommonSubsequence4GramFingerprint, 38
longestCommonSubsequence5GramFingerprintNormalized, 25
diceVariantNormalizedPadding4grams, 5
longestCommonSubsequence2GramFingerprintNormalized, 10
overlapShingles2, no result
manhattanNormalizedTokens, 15
winnowingNormalized3GramJaccard, 7
diceVariantNormalizedShingles2, no result
cosineNormalized2GramsNormalizedTermFrequency, 18
cosineNormalized3GramsTermFrequency, 18
overlapNormalizedPadding5grams, 12
winnowingNormalized2GramDiceVariant, 6
winnowing5GramDice, 4
winnowingShingle2Dice, no result
overlapNormalizedPadding3grams, 14
overlapNormalized5Grams, 5
jaccard2Grams, 5
winnowingNormalized4GramDice, 7
overlap5Grams, 8
winnowingNormalized2GramOverlap, 4
optimalAlignment5GramFingerprintNormalized, 12
diceNormalizedPadding5grams, 6
overlap2Grams, 3
jaccardNormalizedPadding5grams, 6
overlapNormalized4Grams, 4
damerauLevenshteinStandard, 220
longestCommonSubsequenceShingle3FingerprintNormalized, no result
winnowing5GramOverlap, 4
longestCommonSubsequenceShingle2Fingerprint, no result
winnowingNormalizedShingle2Overlap, no result
cosineNormalized2GramsTermFrequency, 10
diceShingles3, no result
diceNormalizedShingles2, no result
winnowingNormalizedTokenOverlap, 4
winnowingTokenOverlap, 2
diceNormalizedPadding3grams, 5
jaccardShingles2, no result
dice3Grams, 4
winnowing4GramDice, 4
winnowingShingle3Overlap, no result
overlap3Grams, 3
cosineNormalized4GramsTermFrequency, 9
diceVariantTokens, 2
winnowingNormalizedTokenDice, 3
cosineNormalizedShingle2Bool, no result
winnowing3GramOverlap, 12
winnowing5GramDiceVariant, 5
winnowing5GramJaccard, 6
winnowingNormalized5GramDice, 4
diceNormalized5Grams, 4
cosineNormalizedTokensNormalizedTermFrequency, 3
jaccardNormalizedShingles3, no result
diceNormalizedPadding4grams, 6
winnowingNormalized2GramJaccard, 4
diceNormalized2Grams, 4
winnowingNormalized5GramJaccard, 4
winnowingNormalized3GramDice, 4
diceVariantShingles3, no result
overlapNormalized3Grams, 4
winnowingShingle2DiceVariant, no result
optimalAlignment4GramFingerprint, 37
jaccard3Grams, 5
cosineNormalizedTokensBool, 4
winnowingNormalized4GramJaccard, 5
winnowingNormalized5GramOverlap, 5
diceShingles2, no result
optimalAlignmentStandard, 123
longestCommonSubsequenceShingle2FingerprintNormalized, no result
jaccardShingles3, no result
cosineNormalizedShingle2NormalizedTermFrequency, no result
winnowingTokenDice, 2
diceTokens, 2
diceVariantNormalized3Grams, 5
jaccardNormalizedPadding4grams, 6
cosineNormalizedShingle3Bool, no result
overlapNormalizedShingles2, no result
diceVariantNormalizedPadding2grams, 5
dice4Grams, 5
cosineNormalized5GramsBool, 10
optimalAlignmentShingle2FingerprintNormalized, no result
cosineNormalized5GramsNormalizedTermFrequency, 10
diceVariant2Grams, 9
diceNormalized3Grams, 4
overlapNormalized2Grams, 4
diceVariantNormalizedPadding5grams, 4
diceNormalizedPadding2grams, 4
optimalAlignmentShingle3FingerprintNormalized, no result
winnowing2GramDice, 4
manhattanNormalized4Grams, 8
jaccardTokens, 2
diceVariantNormalizedShingles3, no result
levenshteinNormalized, 59
winnowingShingle2Jaccard, no result
overlapNormalizedPadding2grams, 4
jaccardNormalized5Grams, 4
winnowingNormalizedShingle2Jaccard, no result
jaccardNormalized4Grams, 5
overlapTokens, 2
jaccardNormalizedTokens, 5
overlapNormalizedShingles3, no result
winnowingNormalized3GramOverlap, 4
diceVariant4Grams, 4
optimalAlignment3GramFingerprint, 51
cosineNormalizedShingle3TermFrequency, no result
optimalAlignment5GramFingerprint, 49
overlapNormalizedTokens, 5
winnowingShingle3Jaccard, no result
longestCommonSubsequenceNormalized, 42
manhattanNormalized3Grams, 8
manhattanNormalized2Grams, 6
cosineNormalizedShingle3NormalizedTermFrequency, no result
winnowingNormalizedShingle2DiceVariant, no result
manhattanNormalizedShingles3, no result
overlapNormalizedPadding4grams, 4
jaccardNormalizedPadding3grams, 4
longestCommonSubsequence3GramFingerprint, 7
winnowingNormalizedShingle3DiceVariant, no result
winnowing4GramJaccard, 4
diceNormalizedShingles3, no result
diceVariantShingles2, no result
cosineNormalized3GramsNormalizedTermFrequency, 6
jaccardNormalized3Grams, 4
optimalAlignmentShingle2Fingerprint, no result
jaccardNormalizedShingles2, no result
manhattanNormalized5Grams, 8
dice5Grams, 4
longestCommonSubsequence4GramFingerprintNormalized, 11
winnowingNormalized2GramDice, 3
levenshteinStandard, 22
winnowing2GramDiceVariant, 4
longestCommonSubsequence5GramFingerprint, 4
winnowingNormalized4GramOverlap, 4
dice2Grams, 3
diceNormalizedTokens, 2
winnowingShingle3Dice, no result
cosineNormalizedTokensTermFrequency, 3
winnowingTokenJaccard, 2
winnowing3GramDice, 4
cosineNormalized3GramsBool, 7
longestCommonSubsequenceShingle3Fingerprint, no result
manhattanNormalizedShingles2, no result
winnowing2GramJaccard, 3
optimalAlignment2GramFingerprint, 51
winnowing4GramOverlap, 4
diceVariantNormalized2Grams, 4
winnowing4GramDiceVariant, 4
winnowingNormalizedTokenJaccard, 3
diceVariantNormalized5Grams, 4
cosineNormalized5GramsTermFrequency, 7
winnowing3GramJaccard, 5
diceVariant3Grams, 4
winnowing3GramDiceVariant, 4
jaccardNormalizedPadding2grams, 5
cosineNormalized4GramsBool, 8
winnowingNormalizedShingle2Dice, no result
jaccardNormalized2Grams, 4
diceVariantNormalizedPadding3grams, 6
cosineNormalizedShingle2TermFrequency, no result
diceNormalized4Grams, 5
winnowingNormalized4GramDiceVariant, 6
longestCommonSubsequenceStandard, 62
longestCommonSubsequence2GramFingerprint, 15
diceVariant5Grams, 5
jaccard5Grams, 5
optimalAlignmentNormalized, 46
optimalAlignment4GramFingerprintNormalized, 17
winnowing2GramOverlap, 6
winnowingNormalizedShingle3Jaccard, no result
cosineNormalized2GramsBool, 6
damerauLevenshteinNormalized, 76
winnowingShingle3DiceVariant, no result
cosineNormalized4GramsNormalizedTermFrequency, 7
overlap4Grams, 3
longestCommonSubsequence3GramFingerprintNormalized, 12
winnowingShingle2Overlap, no result
overlapShingles3, no result
winnowingNormalizedShingle3Overlap, no result
optimalAlignment3GramFingerprintNormalized, 15
jaccard4Grams, 5
optimalAlignmentShingle3Fingerprint, no result
