total time for all PostVersionLists measured (text), 3758880
winnowingNormalizedTokenDiceVariant, 37
winnowingTokenDiceVariant, 14
winnowingNormalized3GramDiceVariant, 67
optimalAlignment2GramFingerprintNormalized, 25
winnowingNormalized5GramDiceVariant, 16
diceVariantNormalizedTokens, 14
winnowingNormalizedShingle3Dice, no result
diceVariantNormalized4Grams, 5
longestCommonSubsequence4GramFingerprint, 26
longestCommonSubsequence5GramFingerprintNormalized, 6
diceVariantNormalizedPadding4grams, 13
longestCommonSubsequence2GramFingerprintNormalized, 9
overlapShingles2, no result
manhattanNormalizedTokens, 25
winnowingNormalized3GramJaccard, 5
diceVariantNormalizedShingles2, no result
cosineNormalized2GramsNormalizedTermFrequency, 16
cosineNormalized3GramsTermFrequency, 8
overlapNormalizedPadding5grams, 22
winnowingNormalized2GramDiceVariant, 12
winnowing5GramDice, 11
winnowingShingle2Dice, no result
overlapNormalizedPadding3grams, 5
overlapNormalized5Grams, 5
jaccard2Grams, 25
winnowingNormalized4GramDice, 11
overlap5Grams, 6
winnowingNormalized2GramOverlap, 31
optimalAlignment5GramFingerprintNormalized, 5
diceNormalizedPadding5grams, 14
overlap2Grams, 4
jaccardNormalizedPadding5grams, 4
overlapNormalized4Grams, 5
damerauLevenshteinStandard, 46
longestCommonSubsequenceShingle3FingerprintNormalized, no result
winnowing5GramOverlap, 178
longestCommonSubsequenceShingle2Fingerprint, no result
winnowingNormalizedShingle2Overlap, no result
cosineNormalized2GramsTermFrequency, 6
diceShingles3, no result
diceNormalizedShingles2, no result
winnowingNormalizedTokenOverlap, 18
winnowingTokenOverlap, 8
diceNormalizedPadding3grams, 16
jaccardShingles2, no result
dice3Grams, 6
winnowing4GramDice, 4
winnowingShingle3Overlap, no result
overlap3Grams, 5
cosineNormalized4GramsTermFrequency, 4
diceVariantTokens, 8
winnowingNormalizedTokenDice, 3
cosineNormalizedShingle2Bool, no result
winnowing3GramOverlap, 5
winnowing5GramDiceVariant, 6
winnowing5GramJaccard, 5
winnowingNormalized5GramDice, 5
diceNormalized5Grams, 4
cosineNormalizedTokensNormalizedTermFrequency, 4
jaccardNormalizedShingles3, no result
diceNormalizedPadding4grams, 4
winnowingNormalized2GramJaccard, 7
diceNormalized2Grams, 4
winnowingNormalized5GramJaccard, 4
winnowingNormalized3GramDice, 5
diceVariantShingles3, no result
overlapNormalized3Grams, 5
winnowingShingle2DiceVariant, no result
optimalAlignment4GramFingerprint, 6
jaccard3Grams, 36
cosineNormalizedTokensBool, 5
winnowingNormalized4GramJaccard, 4
winnowingNormalized5GramOverlap, 5
diceShingles2, no result
